Class,Hull #,Ship Name,Unit Type,Class Name,MG,AA,MD,MS,CC,DF,TF,ARV,Class ID,ID,EW,SONAR,SSM Type,SSM Salvo Size,SSM Total,SAM Type,SAM Salvo Size,SAM Total,ASW Type,ASW Salvo Size,ASW Total,AST Type,AST Salvo Size,AST Total,HELOs,AIR RECON,AIR EW,AIR ASW,AIR EARLY WARNING
DDG,37,Farragut,ship_combat,Coontz,0,1,0,35,0,10,16,15,36,186,4,2,HARPOON,8,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DDG,38,Luce,ship_combat,Coontz,0,1,0,35,0,10,16,15,36,187,4,2,HARPOON,8,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DDG,41,King,ship_combat,Coontz,0,1,0,35,0,10,16,7,36,188,4,2,HARPOON,8,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DDG,42,Mahan,ship_combat,Coontz,0,1,0,35,0,10,16,7,36,189,4,2,HARPOON,8,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DDG,45,Dewey,ship_combat,Coontz,0,1,0,35,0,10,16,7,36,190,4,2,HARPOON,8,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DDG,46,Preble,ship_combat,Coontz,0,1,0,35,0,10,16,7,36,191,4,2,HARPOON,8,16,STANDARD,4,40,ASROC,1,8,MK46 TORP,2,6,0,0,0,0,0
DD,965,Kinkaid,ship_combat,Spruance,0,2,35,30,0,12,16,7,37,192,5,2,HARPOON,8,16,STANDARD,4,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,966,Hewitt,ship_combat,Spruance,0,2,35,30,0,12,16,7,37,193,5,2,HARPOON,8,16,STANDARD,4,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,968,Radford,ship_combat,Spruance,0,2,35,30,0,12,16,5,37,194,5,2,HARPOON,8,16,STANDARD,4,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,969,Peterson,ship_combat,Spruance,0,2,35,30,0,12,16,5,37,195,5,2,HARPOON,8,16,STANDARD,4,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,975,O'Brien,ship_combat,Spruance,0,2,35,30,0,12,16,15,37,196,5,2,HARPOON,8,16,STANDARD,4,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,977,Briscoe,ship_combat,Spruance,0,2,35,30,0,12,16,15,37,197,5,2,HARPOON,8,16,STANDARD,4,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,982,Nicholson,ship_combat,Spruance,0,2,35,30,0,12,16,30,37,198,5,2,HARPOON,8,16,STANDARD,4,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,981,Hancock,ship_combat,Spruance,0,2,35,30,0,12,16,30,37,199,5,2,HARPOON,8,16,STANDARD,4,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,985,Cushing,ship_combat,Spruance,0,2,35,30,0,12,16,45,38,200,5,2,TOMAHAWK,8,8,SPARROW,1,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
DD,987,O'Bannon,ship_combat,Spruance,0,2,35,30,0,12,16,45,38,201,5,2,TOMAHAWK,8,8,SPARROW,1,8,ASROC,1,8,MK46 TORP,2,6,1,0,0,0,0
FF,88,Broadsword,ship_combat,Broadsword,0,0,22,30,0,8,20,0,56,202,5,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,90,Brilliant,ship_combat,Broadsword,0,0,22,30,0,8,20,0,56,203,5,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,91,Brazen,ship_combat,Broadsword,0,0,22,30,0,8,20,0,56,204,5,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,92,Boxer,ship_combat,Broadsword,0,0,22,30,0,8,20,0,56,205,5,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,169,Amazon,ship_combat,Amazon,0,1,7,30,0,7,20,0,57,206,4,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,171,Active,ship_combat,Amazon,0,1,7,30,0,7,20,0,57,207,4,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,172,Ambuscade,ship_combat,Amazon,0,1,7,30,0,7,20,0,57,208,4,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,173,Arrow,ship_combat,Amazon,0,1,7,30,0,7,20,0,57,209,4,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,174,Alacrity,ship_combat,Amazon,0,1,7,30,0,7,20,0,57,210,4,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,185,Avenger,ship_combat,Amazon,0,1,7,30,0,7,16,30,57,211,4,2,EXOCET,4,4,-,-,-,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,109,Leander,ship_combat,Leander I,0,0,12,25,0,7,16,0,58,212,4,2,-,-,-,SEACAT,2,8,IKARA,1,1,-,-,-,1,0,0,0,0
FF,114,Ajax,ship_combat,Leander I,0,0,12,25,0,7,16,0,58,213,4,2,-,-,-,SEACAT,2,8,IKARA,1,1,-,-,-,1,0,0,0,0
FF,104,Dido,ship_combat,Leander I,0,0,12,25,0,7,16,0,58,214,4,2,-,-,-,SEACAT,2,8,IKARA,1,1,-,-,-,1,0,0,0,0
FF,15,Euralyus,ship_combat,Leander I,0,0,12,25,0,7,16,0,58,215,4,2,-,-,-,SEACAT,2,8,IKARA,1,1,-,-,-,1,0,0,0,0
FF,18,Galatea,ship_combat,Leander I,0,0,12,25,0,7,16,0,58,216,4,2,-,-,-,SEACAT,2,8,IKARA,1,1,-,-,-,1,0,0,0,0
FF,38,Arethusa,ship_combat,Leander I,0,0,12,25,0,7,16,0,58,217,4,2,-,-,-,SEACAT,2,8,IKARA,1,1,-,-,-,1,0,0,0,0
FF,39,Naiad,ship_combat,Leander I,0,0,12,25,0,7,16,0,58,218,4,2,-,-,-,SEACAT,2,8,IKARA,1,1,-,-,-,1,0,0,0,0
FF,28,Cleopatra,ship_combat,Leander II,0,0,12,25,0,7,16,0,59,219,4,1,EXOCET,4,4,SEACAT,2,8,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,45,Minerva,ship_combat,Leander II,0,0,12,25,0,7,16,0,59,220,4,1,EXOCET,4,4,SEACAT,2,8,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,42,Phoebe,ship_combat,Leander II,0,0,12,25,0,7,16,0,59,221,4,1,EXOCET,4,4,SEACAT,2,8,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,40,Sirius,ship_combat,Leander II,0,0,12,25,0,7,16,0,59,222,4,1,EXOCET,4,4,SEACAT,2,8,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,56,Argonaut,ship_combat,Leander II,0,0,12,25,0,7,16,0,59,223,4,1,EXOCET,4,4,SEACAT,2,8,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,47,Danae,ship_combat,Leander II,0,0,12,25,0,7,16,0,59,224,4,1,EXOCET,4,4,SEACAT,2,8,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,127,Penelope,ship_combat,Leander II,0,0,12,25,0,7,20,0,59,225,4,1,EXOCET,4,4,SEACAT,2,8,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FF,70,Apollo,ship_combat,Leander III,0,0,12,25,0,7,20,0,59,226,4,1,EXOCET,4,4,SEACAT,1,4,-,-,-,MK46 TORP,2,6,1,0,0,0,0
FFG,09,Wadsworth,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,7,54,227,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,10,Duncan,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,7,54,228,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,13,Morison,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,7,54,229,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,12,Philip,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,7,54,230,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,21,Flatley,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,5,54,231,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,22,Fahrion,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,5,54,232,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,25,Copeland,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,15,54,233,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,26,Gallery,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,15,54,234,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,33,Jarrett,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,15,54,235,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FFG,36,Underwood,ship_combat,Oliver Hazard Perry,0,1,15,30,0,8,16,30,54,236,4,2,HARPOON,4,4,STANDARD,4,36,-,-,-,MK46 TORP,2,6,2,0,0,0,0
FF,1055,Hepburn,ship_combat,Knox,0,1,15,25,0,7,16,7,55,237,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1054,Gray,ship_combat,Knox,0,1,15,25,0,7,16,7,55,238,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1060,Lang,ship_combat,Knox,0,1,15,25,0,7,16,7,55,239,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1061,Patterson,ship_combat,Knox,0,1,15,25,0,7,16,5,55,240,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1068,Vreeland,ship_combat,Knox,0,1,15,25,0,7,16,5,55,241,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1069,Bagley,ship_combat,Knox,0,1,15,25,0,7,16,5,55,242,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1090,Ainsworth,ship_combat,Knox,0,1,15,25,0,7,16,5,55,243,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1088,Barbey,ship_combat,Knox,0,1,15,25,0,7,16,10,55,244,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1096,Valdez,ship_combat,Knox,0,1,15,25,0,7,16,10,55,245,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
FF,1095,Truett,ship_combat,Knox,0,1,15,25,0,7,16,20,55,246,4,2,HARPOON,4,4,SPARROW,1,8,ASROC,1,8,MK46 TORP,4,4,1,0,0,0,0
LPD,10,Fearless,ship_transport,Fearless,0,0,22,20,6,14,16,15,61,247,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LPD,11,Intrepid,ship_transport,Fearless,0,0,22,20,6,14,16,15,61,248,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LST,3004,Sir Bedivere,ship_transport,Round Table,0,0,2,15,4,7,16,30,62,249,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LST,3027,Sir Geraint,ship_transport,Round Table,0,0,2,15,4,7,16,30,62,250,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LST,3029,Sir Lancelot,ship_transport,Round Table,0,0,2,15,4,7,16,30,62,251,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LST,3036,Sir Percivale,ship_transport,Round Table,0,0,2,15,4,7,16,15,62,252,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LST,3505,Sir Tristram,ship_transport,Round Table,0,0,2,15,4,7,16,30,62,253,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LHA,01,Tarawa,ship_transport,Tarawa,0,3,30,25,18,30,16,30,63,254,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LHA,04,Nassau,ship_transport,Tarawa,0,3,30,25,18,30,16,30,63,255,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LPH,09,Guam,ship_transport,Iwo Jima,0,4,30,20,18,12,16,45,64,256,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LPH,12,Inchon,ship_transport,Iwo Jima,0,4,30,20,18,12,16,45,64,257,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LPD,06,Duluth,ship_transport,Austin,0,4,30,20,8,12,16,45,65,258,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LPD,04,Austin,ship_transport,Austin,0,4,30,20,8,12,16,45,65,259,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LPD,11,Coronado,ship_transport,Austin,0,4,30,20,8,12,16,45,65,260,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LPD,14,Trenton,ship_transport,Austin,0,4,30,20,8,12,16,30,65,261,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LST,1179,Newport,ship_transport,Newport,0,0,22,20,6,14,16,25,61,262,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LST,1190,Boulder,ship_transport,Newport,0,0,22,20,6,14,16,25,61,263,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
LST,1181,Sumter,ship_transport,Newport,0,0,22,20,6,14,16,0,61,264,4,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AKR,07,Comet,ship_transport,Roll-on/Roll-off,0,0,0,20,12,12,16,0,68,265,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AKR,09,Meteor,ship_transport,Roll-on/Roll-off,0,0,0,20,12,12,16,0,68,266,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AKR,43,Jupiter,ship_transport,Roll-on/Roll-off,0,0,0,20,16,22,16,5,60,268,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AO,143,Neosho,ship_transport,Neosho,0,0,0,20,16,22,16,5,60,269,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AO,147,Truckee,ship_transport,Neosho,0,0,0,20,16,22,16,30,60,270,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AK,284,Northern Light,ship_transport,Northern Light,0,0,0,20,12,12,16,5,68,271,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AK,285,Southern Cross,ship_transport,Northern Light,0,0,0,20,12,12,16,5,68,272,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AE,27,Butte,ship_transport,Kilauea,0,0,0,20,12,12,16,5,68,273,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AE,32,Flint,ship_transport,Kilauea,0,0,0,20,12,12,16,5,68,274,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AE,33,Shasta,ship_transport,Kilauea,0,0,0,20,12,12,16,5,68,275,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AE,35,Kiska,ship_transport,Kilauea,0,0,0,20,12,12,16,10,68,276,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AFS,05,Concord,ship_transport,Mars,0,0,0,20,12,12,16,5,68,277,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AFS,07,San Jose,ship_transport,Mars,0,0,0,20,12,12,16,10,68,278,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
AK,,Replacement Ship,ship_transport,Breakbulk,0,0,2,20,4,7,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
SSN,126,Swiftsure,ship_submarine,Swiftsure,0,0,0,30,0,30,21,0,79,279,5,4,HARPOON,5,5,-,-,-,-,-,-,TIGERFISH,5,20,0,0,0,0,0
SSN,107,Tranfalgar,ship_submarine,Trafalgar,0,0,0,30,0,30,21,0,79,280,5,4,HARPOON,5,5,-,-,-,-,-,-,TIGERFISH,5,20,0,0,0,0,0
SSN,105,Spartan,ship_submarine,Swiftsure,0,0,0,30,0,30,21,0,79,281,5,4,HARPOON,5,5,-,-,-,-,-,-,TIGERFISH,5,20,0,0,0,0,0
SSN,50,Courageous,ship_submarine,Valiant,0,0,0,25,0,30,21,0,80,282,4,3,HARPOON,6,6,-,-,-,-,-,-,TIGERFISH,6,26,0,0,0,0,0
SSN,102,Valiant,ship_submarine,Valiant,0,0,0,25,0,30,21,0,80,283,4,3,HARPOON,6,6,-,-,-,-,-,-,TIGERFISH,6,26,0,0,0,0,0
SSN,103,Warspite,ship_submarine,Valiant,0,0,0,25,0,30,21,0,80,284,4,3,HARPOON,6,6,-,-,-,-,-,-,TIGERFISH,6,26,0,0,0,0,0
SSN,690,Philadelphia,ship_submarine,Los Angeles,0,0,0,35,0,30,22,0,77,285,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
SSN,691,Memphis,ship_submarine,Los Angeles,0,0,0,35,0,30,16,50,77,286,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
SSN,693,Cincinnati,ship_submarine,Los Angeles,0,0,0,35,0,30,16,50,77,287,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
SSN,694,Groton,ship_submarine,Los Angeles,0,0,0,35,0,30,16,50,77,288,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
SSN,701,La Jolla,ship_submarine,Los Angeles,0,0,0,35,0,30,16,50,77,289,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
SSN,702,Phoenix,ship_submarine,Los Angeles,0,0,0,35,0,30,22,0,77,290,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
